ds,Predicted,Generated_At,Model
2025-02-04 08:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 09:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 10:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 11:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 12:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 13:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 14:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 15:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 16:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 17:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 18:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 19:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 20:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 21:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 22:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-04 23:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 00:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 01:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 02:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 03:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 04:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 05:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 06:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 07:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 08:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 09:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 10:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 11:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 12:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 13:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 14:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 15:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 16:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 17:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 18:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 19:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 20:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 21:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 22:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-05 23:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 00:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 01:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 02:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 03:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 04:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 05:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 06:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 07:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 08:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 09:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-02-06 10:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
